,survey_questions_id,survey_raw_answers_id,survey_condition,Awe,Fear,Anger,Pride,Shame,Disgust,Sadness,Contempt,Interest,Surprise,Amusement,Happiness,Embarrassment
0,268,26,/survey-so,0,0,2,0,2,2,2,2,0,0,0,0,0
1,584,26,/survey-so,0,0,0,0,0,0,3,0,0,0,0,0,0
2,515,26,/survey-so,0,0,0,0,0,0,0,0,0,0,2,0,0
3,582,26,/survey-so,0,2,2,0,0,2,0,2,0,2,0,0,0
4,110,26,/survey-so,0,3,0,0,0,0,0,0,0,0,0,0,0
5,78,26,/survey-so,0,0,0,0,0,0,0,0,1,0,2,0,0
6,454,26,/survey-so,0,0,0,0,0,0,0,0,0,2,2,2,0
7,430,26,/survey-so,0,0,0,0,0,2,2,0,0,3,0,0,0
8,107,26,/survey-so,0,2,2,0,0,3,2,0,0,0,0,0,0
9,563,26,/survey-so,0,0,0,0,0,0,0,0,0,2,2,0,0
10,343,26,/survey-so,1,0,0,0,0,0,0,0,2,0,1,2,0
11,189,26,/survey-so,1,0,0,2,0,0,0,0,0,0,0,2,0
12,243,26,/survey-so,0,3,0,0,2,2,0,2,0,0,0,0,0
13,600,26,/survey-so,2,0,0,0,0,0,0,0,2,1,0,0,0
14,383,26,/survey-so,0,2,2,0,0,2,0,0,2,2,0,0,0
15,184,26,/survey-so,0,0,0,0,0,0,0,0,1,0,1,2,0
16,540,26,/survey-so,0,0,1,0,2,2,0,2,0,0,0,0,0
17,273,26,/survey-so,0,0,0,0,2,3,0,2,0,0,0,0,0
18,517,26,/survey-so,0,0,0,0,0,0,0,2,0,0,0,0,0
19,407,26,/survey-so,2,0,0,0,0,0,0,0,3,0,0,0,0
20,455,26,/survey-so,1,0,0,0,0,0,0,0,3,2,1,0,0
21,169,26,/survey-so,0,0,0,0,0,0,0,0,0,2,2,0,0
22,116,26,/survey-so,0,0,0,0,0,0,0,0,2,0,3,2,0
23,155,26,/survey-so,0,0,0,0,0,0,2,0,0,0,0,0,0
24,529,26,/survey-so,0,0,0,0,0,0,2,0,0,0,0,0,0
25,118,26,/survey-so,0,3,0,0,0,2,0,0,0,0,0,0,0
26,64,26,/survey-so,0,0,2,0,2,2,2,2,0,2,0,0,0
27,62,26,/survey-so,0,0,0,0,0,0,0,0,2,0,2,0,0
28,137,26,/survey-so,0,0,0,0,0,0,0,2,2,0,0,0,0
29,131,26,/survey-so,0,0,0,0,0,0,0,0,3,0,2,0,0
30,228,55,/survey-so,0,0,2,0,0,3,0,4,2,0,2,0,0
31,234,55,/survey-so,0,0,4,1,0,3,0,4,2,0,0,0,1
32,261,55,/survey-so,1,0,0,2,0,0,0,0,4,0,4,3,0
33,390,55,/survey-so,0,0,4,0,1,4,1,4,1,1,0,0,3
34,238,55,/survey-so,1,0,0,3,0,0,0,0,3,0,1,1,0
35,89,55,/survey-so,0,1,4,0,2,4,4,2,0,3,0,0,1
36,488,55,/survey-so,0,1,4,4,0,2,0,4,1,1,0,0,3
37,200,55,/survey-so,0,1,0,1,0,1,0,0,4,1,1,0,1
38,244,55,/survey-so,0,4,3,0,4,2,4,0,2,3,0,0,4
39,362,55,/survey-so,1,0,0,2,0,0,0,0,4,2,2,2,0
40,304,55,/survey-so,0,2,3,0,3,4,4,2,4,4,0,0,3
41,538,55,/survey-so,0,1,2,0,1,1,4,0,2,0,0,0,1
42,71,55,/survey-so,0,1,1,3,0,0,0,4,4,0,3,1,0
43,175,55,/survey-so,0,4,3,0,1,1,1,2,3,0,1,0,0
44,21,55,/survey-so,0,1,2,0,1,1,1,1,2,4,0,0,4
45,243,55,/survey-so,0,4,0,0,0,0,1,0,4,4,0,0,3
46,91,55,/survey-so,0,4,0,0,3,0,0,0,1,0,0,0,3
47,513,55,/survey-so,0,0,3,0,0,2,0,3,0,0,0,0,0
48,165,55,/survey-so,0,1,1,0,2,2,3,0,0,0,0,0,3
49,51,55,/survey-so,3,0,0,4,0,0,0,0,4,4,3,4,0
50,347,55,/survey-so,0,1,4,1,0,4,1,4,0,0,0,0,0
51,267,55,/survey-so,0,1,2,2,0,2,2,1,3,1,0,0,0
52,447,55,/survey-so,0,1,4,0,1,4,4,3,4,4,0,0,2
53,162,55,/survey-so,0,4,3,0,0,2,2,0,4,4,0,0,0
54,457,55,/survey-so,1,0,0,0,0,0,0,0,4,4,2,0,1
55,135,55,/survey-so,0,0,0,0,0,1,0,1,1,0,0,0,0
56,505,55,/survey-so,0,1,3,0,0,2,0,1,2,4,0,0,2
57,529,55,/survey-so,0,1,4,0,0,3,2,3,2,0,0,0,0
58,52,55,/survey-so,0,1,3,0,2,2,4,1,0,0,0,0,1
59,512,55,/survey-so,3,0,0,4,0,0,0,0,4,0,2,3,0
60,359,51,/survey-so,0,1,0,0,0,0,2,2,0,2,3,2,0
61,249,51,/survey-so,0,0,0,0,0,0,0,2,3,0,0,3,2
62,62,51,/survey-so,0,0,2,3,3,0,0,0,0,2,0,0,0
63,84,51,/survey-so,0,0,3,2,0,0,0,0,2,3,0,0,0
64,328,51,/survey-so,0,0,2,3,3,3,0,0,0,0,0,0,0
65,371,51,/survey-so,0,0,0,2,0,0,0,0,0,0,0,0,3
66,377,51,/survey-so,0,0,0,3,0,0,0,0,0,0,2,0,0
67,433,51,/survey-so,0,0,0,3,2,0,3,0,0,0,0,2,0
68,372,51,/survey-so,2,0,2,0,0,0,3,0,0,0,0,3,0
69,120,51,/survey-so,2,0,0,0,3,0,0,0,3,2,0,0,0
70,283,51,/survey-so,3,0,0,0,0,0,0,0,0,2,0,0,0
71,158,51,/survey-so,0,3,0,2,0,0,0,0,0,0,2,0,2
72,406,51,/survey-so,3,0,0,0,0,0,3,0,2,2,0,3,0
73,72,51,/survey-so,0,0,0,0,2,0,0,2,0,2,0,3,0
74,228,51,/survey-so,2,0,0,3,2,2,3,2,0,0,0,0,3
75,151,51,/survey-so,0,0,0,0,3,0,0,0,0,0,0,2,0
76,593,51,/survey-so,0,2,0,0,0,0,0,0,0,2,3,0,0
77,346,51,/survey-so,3,0,0,0,3,0,0,0,2,0,0,0,0
78,340,51,/survey-so,3,0,2,0,0,0,0,0,0,2,0,0,0
79,87,51,/survey-so,0,0,0,0,2,0,0,0,0,0,0,3,3
80,413,51,/survey-so,0,3,0,0,0,3,0,0,2,0,0,0,0
81,47,51,/survey-so,0,0,0,0,2,3,0,0,0,2,0,0,0
82,70,51,/survey-so,0,3,2,0,0,3,0,0,0,0,0,0,3
83,308,51,/survey-so,0,0,0,2,3,0,0,3,0,0,0,0,0
84,502,51,/survey-so,0,0,2,0,0,2,0,0,3,0,0,0,0
85,111,51,/survey-so,0,2,3,0,0,0,0,0,0,0,0,0,0
86,559,51,/survey-so,0,0,0,0,0,0,3,0,3,2,0,0,0
87,266,51,/survey-so,2,0,0,0,0,0,2,0,0,3,0,0,0
88,360,51,/survey-so,0,3,0,0,0,2,0,2,2,3,2,0,0
89,36,51,/survey-so,0,0,0,0,3,0,0,0,0,0,0,0,2
90,284,96,/survey-so,0,3,4,4,2,0,4,0,2,0,0,0,2
91,21,96,/survey-so,0,0,0,0,0,0,0,2,3,4,2,2,2
92,216,96,/survey-so,2,0,0,3,0,0,0,3,0,0,3,1,0
93,448,96,/survey-so,0,4,4,0,0,4,4,0,0,4,0,0,0
94,573,96,/survey-so,0,0,4,0,0,0,3,0,0,3,0,0,0
95,591,96,/survey-so,4,0,4,0,0,2,4,0,0,0,0,0,0
96,384,96,/survey-so,0,0,2,0,4,0,0,0,0,4,0,0,4
97,222,96,/survey-so,0,0,0,0,0,0,0,2,0,4,4,4,0
98,81,96,/survey-so,0,4,0,0,3,0,0,0,0,4,0,0,4
99,286,96,/survey-so,0,0,0,4,0,0,0,3,4,0,3,4,0
