EmotionCategory,Index,AUPattern
Amusement,0,"[6, 12, 26, 55]"
Amusement,1,"[6, 7, 12, 16, 25, 53]"
Amusement,2,"[6, 7, 12, 25, 26, 53]"
Amusement,3,"[6, 12, 27, 55]"
Amusement,4,"[6, 12, 26, 56]"
Amusement,5,"[6, 12, 27, 56]"
Anger,0,"[4, 7, 24, 23]"
Anger,1,"[4, 7, 24, 17]"
Anger,2,"[4, 7, 24, 10]"
Anger,3,"[4, 7, 24]"
Anger,4,"[4, 7, 22, 23, 24]"
Anger,5,"[4, 7, 24, 10, 17, 23]"
Anger,6,"[4, 5, 17, 23, 24]"
Anger,7,"[4, 7, 24, 10, 17]"
Anger,8,"[4, 5, 22, 23, 24]"
Anger,9,"[4, 7, 24, 17, 23]"
Anger,10,"[4, 7, 5, 25]"
Anger,11,"[4, 7, 24, 10, 23]"
Anger,12,"[4, 5, 7, 23]"
Anger,13,"[4, 7]"
Awe,0,"[1, 5, 26, 57]"
Awe,1,"[1, 5, 27, 57]"
Awe,2,"[1, 2, 5, 25]"
Awe,3,"[1, 2, 5, 25, 4]"
Awe,4,"[1, 2, 5, 25, 20]"
Awe,5,"[1, 2, 5, 25, 26]"
Awe,6,"[1, 2, 5, 25, 4, 20]"
Awe,7,"[1, 2, 5, 25, 4, 26]"
Awe,8,"[1, 2, 5, 25, 20, 26]"
Awe,9,"[1, 2, 5, 25, 4, 20, 26]"
Awe,10,"[1, 2, 5, 12, 25, 53]"
Contempt,0,"[4, 14, 25, 7, 17, 84]"
Contempt,1,"[4, 14, 25]"
Contempt,2,"[12, 14]"
Disgust,0,"[4, 6, 7, 9, 10, 25, 26]"
Disgust,1,"[9, 15, 16]"
Disgust,2,[9]
Disgust,3,[10]
Disgust,4,"[10, 26]"
Disgust,5,"[10, 25]"
Disgust,6,"[7, 9, 19, 25, 26]"
Disgust,7,"[9, 10, 17, 4, 24]"
Disgust,8,"[4, 6, 7, 9, 10, 25, 26, 19]"
Disgust,9,"[9, 10, 17, 24]"
Disgust,10,"[9, 26]"
Disgust,11,"[9, 10, 17, 4]"
Disgust,12,"[9, 10, 17]"
Disgust,13,"[9, 25]"
Embarrassment,0,"[7, 12, 15, 52, 54, 64]"
Embarrassment,1,"[12, 24, 51, 54, 64]"
Embarrassment,2,"[6, 7, 12, 25, 54, 1, 17, 20]"
Embarrassment,3,"[6, 7, 12, 25, 54]"
Embarrassment,4,"[6, 7, 12, 25, 54, 1, 17]"
Fear,0,"[1, 2, 4, 5, 20, 26]"
Fear,1,"[1, 4, 20, 25, 26]"
Fear,2,"[1, 4, 20, 25]"
Fear,3,"[1, 4, 20, 25, 2, 26]"
Fear,4,"[1, 4, 20, 25, 2]"
Fear,5,"[1, 2, 4, 5, 20, 25]"
Fear,6,"[1, 2, 4, 5, 7, 20, 26]"
Fear,7,"[1, 2, 4, 5, 20]"
Fear,8,"[1, 2, 4, 5, 7, 20, 25]"
Fear,9,"[1, 2, 5, 7, 25]"
Fear,10,"[1, 2, 5, 7, 25, 4, 12, 16, 20, 21]"
Happiness,0,"[6, 12]"
Happiness,1,"[6, 7, 12, 25, 26]"
Happiness,2,"[12, 25, 6]"
Happiness,3,"[12, 25]"
Happiness,4,"[6, 7, 12, 16, 25, 26]"
Interest,0,"[1, 2, 12]"
Interest,1,"[3, 85]"
Interest,2,"[85, 4, 7, 12, 17, 24]"
Pride,0,"[7, 12, 53, 25, 64]"
Pride,1,"[7, 12, 53, 6, 25, 64]"
Pride,2,"[6, 12, 24, 53]"
Pride,3,"[7, 12, 53]"
Pride,4,"[-1, 53, 64]"
Sadness,0,"[4, 11, 15, 1, 6, 17]"
Sadness,1,"[1, 4, 5]"
Sadness,2,"[1, 4, 15, 17]"
Sadness,3,"[4, 11, 15, 6, 17]"
Sadness,4,"[4, 11, 15]"
Sadness,5,"[4, 11, 15, 1, 6]"
Sadness,6,"[4, 11, 15, 17]"
Sadness,7,"[4, 11, 15, 6]"
Sadness,8,"[4, 11, 15, 1]"
Sadness,9,"[1, 15]"
Sadness,10,"[4, 43, 54]"
Sadness,11,"[1, 15, 17]"
Sadness,12,"[4, 43, 54, 15, 17, 64]"
Sadness,13,"[1, 4, 15]"
Sadness,14,"[1, 4, 6, 15, 17]"
Sadness,15,"[4, 11, 15, 1, 17]"
Shame,0,"[4, 17, 54]"
Shame,1,"[-1, 54, 64]"
Shame,2,"[4, 17, 54, 24, 64]"
Shame,3,"[54, 64]"
Surprise,0,"[1, 2, 5, 25, 26]"
Surprise,1,"[1, 2, 25, 26]"
Surprise,2,"[1, 2, 5, 25]"
Surprise,3,"[1, 2, 5, 25, 4]"
Surprise,4,"[1, 2, 5, 26]"
Surprise,5,"[1, 2, 25, 26, 5]"
