p,EmotionCategory,0,AUPattern
0,Amusement,0,"[6, 12, 26, 55]"
1,Amusement,1,"[6, 7, 12, 16, 25, 53]"
2,Amusement,2,"[6, 7, 12, 25, 26, 53]"
3,Amusement,3,"[6, 12, 27, 55]"
4,Amusement,4,"[6, 12, 26, 56]"
5,Amusement,5,"[6, 12, 27, 56]"
6,Anger,0,"[4, 7, 24, 23]"
7,Anger,1,"[4, 7, 24, 17]"
8,Anger,2,"[4, 7, 24, 10]"
9,Anger,3,"[4, 7, 24]"
10,Anger,4,"[4, 7, 22, 23, 24]"
11,Anger,5,"[4, 7, 24, 10, 17, 23]"
12,Anger,6,"[4, 5, 17, 23, 24]"
13,Anger,7,"[4, 7, 24, 10, 17]"
14,Anger,8,"[4, 5, 22, 23, 24]"
15,Anger,9,"[4, 7, 24, 17, 23]"
16,Anger,10,"[4, 7, 5, 25]"
17,Anger,11,"[4, 7, 24, 10, 23]"
18,Anger,12,"[4, 5, 7, 23]"
19,Anger,13,"[4, 7]"
20,Awe,0,"[1, 5, 26, 57]"
21,Awe,1,"[1, 5, 27, 57]"
22,Awe,2,"[1, 2, 5, 25]"
23,Awe,3,"[1, 2, 5, 25, 4]"
24,Awe,4,"[1, 2, 5, 25, 20]"
25,Awe,5,"[1, 2, 5, 25, 26]"
26,Awe,6,"[1, 2, 5, 25, 4, 20]"
27,Awe,7,"[1, 2, 5, 25, 4, 26]"
28,Awe,8,"[1, 2, 5, 25, 20, 26]"
29,Awe,9,"[1, 2, 5, 25, 4, 20, 26]"
30,Awe,10,"[1, 2, 5, 12, 25, 53]"
31,Contempt,0,"[4, 14, 25, 7, 17, 84]"
32,Contempt,1,"[4, 14, 25]"
33,Contempt,2,"[12, 14]"
34,Disgust,0,"[4, 6, 7, 9, 10, 25, 26]"
35,Disgust,1,"[9, 15, 16]"
36,Disgust,2,[9]
37,Disgust,3,[10]
38,Disgust,4,"[10, 26]"
39,Disgust,5,"[10, 25]"
40,Disgust,6,"[7, 9, 19, 25, 26]"
41,Disgust,7,"[9, 10, 17, 4, 24]"
42,Disgust,8,"[4, 6, 7, 9, 10, 25, 26, 19]"
43,Disgust,9,"[9, 10, 17, 24]"
44,Disgust,10,"[9, 26]"
45,Disgust,11,"[9, 10, 17, 4]"
46,Disgust,12,"[9, 10, 17]"
47,Disgust,13,"[9, 25]"
48,Embarrassment,0,"[7, 12, 15, 52, 54, 64]"
49,Embarrassment,1,"[12, 24, 51, 54, 64]"
50,Embarrassment,2,"[6, 7, 12, 25, 54, 1, 17, 20]"
51,Embarrassment,3,"[6, 7, 12, 25, 54]"
52,Embarrassment,4,"[6, 7, 12, 25, 54, 1, 17]"
53,Fear,0,"[1, 2, 4, 5, 20, 26]"
54,Fear,1,"[1, 4, 20, 25, 26]"
55,Fear,2,"[1, 4, 20, 25]"
56,Fear,3,"[1, 4, 20, 25, 2, 26]"
57,Fear,4,"[1, 4, 20, 25, 2]"
58,Fear,5,"[1, 2, 4, 5, 20, 25]"
59,Fear,6,"[1, 2, 4, 5, 7, 20, 26]"
60,Fear,7,"[1, 2, 4, 5, 20]"
61,Fear,8,"[1, 2, 4, 5, 7, 20, 25]"
62,Fear,9,"[1, 2, 5, 7, 25]"
63,Fear,10,"[1, 2, 5, 7, 25, 4, 12, 16, 20, 21]"
64,Happiness,0,"[6, 12]"
65,Happiness,1,"[6, 7, 12, 25, 26]"
66,Happiness,2,"[12, 25, 6]"
67,Happiness,3,"[12, 25]"
68,Happiness,4,"[6, 7, 12, 16, 25, 26]"
69,Interest,0,"[1, 2, 12]"
70,Interest,1,"[-1, 85]"
71,Interest,2,"[85, 4, 7, 12, 17, 24]"
72,Pride,0,"[7, 12, 53, 25, 64]"
73,Pride,1,"[7, 12, 53, 6, 25, 64]"
74,Pride,2,"[6, 12, 24, 53]"
75,Pride,3,"[7, 12, 53]"
76,Pride,4,"[-1, 53, 64]"
77,Sadness,0,"[4, 11, 15, 1, 6, 17]"
78,Sadness,1,"[1, 4, 5]"
79,Sadness,2,"[1, 4, 15, 17]"
80,Sadness,3,"[4, 11, 15, 6, 17]"
81,Sadness,4,"[4, 11, 15]"
82,Sadness,5,"[4, 11, 15, 1, 6]"
83,Sadness,6,"[4, 11, 15, 17]"
84,Sadness,7,"[4, 11, 15, 6]"
85,Sadness,8,"[4, 11, 15, 1]"
86,Sadness,9,"[1, 15]"
87,Sadness,10,"[4, 43, 54]"
88,Sadness,11,"[1, 15, 17]"
89,Sadness,12,"[4, 43, 54, 15, 17, 64]"
90,Sadness,13,"[1, 4, 15]"
91,Sadness,14,"[1, 4, 6, 15, 17]"
92,Sadness,15,"[4, 11, 15, 1, 17]"
93,Shame,0,"[4, 17, 54]"
94,Shame,1,"[-1, 54, 64]"
95,Shame,2,"[4, 17, 54, 24, 64]"
96,Shame,3,"[54, 64]"
97,Surprise,0,"[1, 2, 5, 25, 26]"
98,Surprise,1,"[1, 2, 25, 26]"
99,Surprise,2,"[1, 2, 5, 25]"
100,Surprise,3,"[1, 2, 5, 25, 4]"
101,Surprise,4,"[1, 2, 5, 26]"
102,Surprise,5,"[1, 2, 25, 26, 5]"
