EmotionCategory,Index,AUPattern
Amusement,1,"[-1]"
Anger,1,"[4, 7, 24]"
Anger,2,"[4, 7, 24, 10]"
Anger,3,"[4, 7, 24, 17]"
Anger,4,"[4, 7, 24, 23]"
Anger,5,"[4, 7, 24, 10, 17]"
Anger,6,"[4, 7, 24, 10, 23]"
Anger,7,"[4, 7, 24, 17, 23]"
Anger,8,"[4, 7, 24, 10, 17, 23]"
Awe,1,"[1, 2, 5, 25]"
Awe,2,"[1, 2, 5, 25, 4]"
Awe,3,"[1, 2, 5, 25, 20]"
Awe,4,"[1, 2, 5, 25, 26]"
Awe,5,"[1, 2, 5, 25, 4, 20]"
Awe,6,"[1, 2, 5, 25, 4, 26]"
Awe,7,"[1, 2, 5, 25, 20, 26]"
Awe,8,"[1, 2, 5, 25, 4, 20, 26]"
Contempt,1,"[-1]"
Disgust,1,"[9, 10, 17]"
Disgust,2,"[9, 10, 17, 4]"
Disgust,3,"[9, 10, 17, 24]"
Disgust,4,"[9, 10, 17, 4, 24]"
Embarrassment,1,"[-1]"
Fear,1,"[1, 4, 20, 25]"
Fear,2,"[1, 4, 20, 25, 2]"
Fear,3,"[1, 4, 20, 25, 26]"
Fear,4,"[1, 4, 20, 25, 2, 26]"
Happiness,1,"[12, 25]"
Happiness,2,"[12, 25, 6]"
Interest,1,"[-1]"
Pride,1,"[-1]"
Sadness,1,"[4, 11, 15]"
Sadness,2,"[4, 11, 15, 1]"
Sadness,3,"[4, 11, 15, 6]"
Sadness,4,"[4, 11, 15, 17]"
Sadness,5,"[4, 11, 15, 1, 6]"
Sadness,6,"[4, 11, 15, 1, 17]"
Sadness,7,"[4, 11, 15, 6, 17]"
Sadness,8,"[4, 11, 15, 1, 6, 17]"
Shame,1,"[-1]"
Surprise,1,"[1, 2, 25, 26]"
Surprise,2,"[1, 2, 25, 26, 5]"
