EmotionCategory,Index,AUPattern
Amusement,1,"[6, 7, 12, 16, 25, 53]"
Anger,1,"[4, 7]"
Anger,2,"[4, 7, 5, 25]"
Awe,1,"[1, 2, 5, 12, 25, 53]"
Contempt,1,"[4, 14, 25]"
Contempt,2,"[4, 14, 25, 7, 17, 84]"
Disgust,1,"[4, 6, 7, 9, 10, 25, 26]"
Disgust,2,"[4, 6, 7, 9, 10, 25, 26, 19]"
Embarrassment,1,"[6, 7, 12, 25, 54]"
Embarrassment,2,"[6, 7, 12, 25, 54, 1, 17, 20]"
Fear,1,"[1, 2, 5, 7, 25]"
Fear,2,"[1, 2, 5, 7, 25, 4, 12, 16, 20, 21]"
Happiness,1,"[6, 7, 12, 16, 25, 26]"
Interest,1,[85]
Interest,2,"[85, 4, 7, 12, 17, 24]"
Pride,1,"[7, 12, 53]"
Pride,2,"[7, 12, 53, 6, 25, 64]"
Sadness,1,"[4, 43, 54]"
Sadness,2,"[4, 43, 54, 15, 17, 64]"
Shame,1,"[4, 17, 54]"
Shame,2,"[4, 17, 54, 24, 64]"
Surprise,1,"[1, 2, 5, 25]"
Surprise,2,"[1, 2, 5, 25, 4]"
