EmotionCategory,Index,AUPattern
Anger,1,"[4, 5, 22, 23, 24]"
Anger,2,"[4, 7, 22, 23, 24]"
Anger,3,"[4, 7]"
Awe,1,"[1, 2, 5, 25]"
Awe,2,"[1, 2, 5, 25, 4]"
Awe,3,"[1, 2, 5, 25, 20]"
Awe,4,"[1, 2, 5, 25, 26]"
Awe,5,"[1, 2, 5, 25, 4, 20]"
Awe,6,"[1, 2, 5, 25, 4, 26]"
Awe,7,"[1, 2, 5, 25, 4, 20, 26]"
Awe,8,"[1, 2, 5, 12, 25, 53]"
Contempt,1,"[12, 14]"
Contempt,2,"[4, 14, 25]"
Disgust,1,[9]
Disgust,2,[10]
Disgust,3,"[9, 25]"
Disgust,4,"[9, 26]"
Disgust,5,"[10, 25]"
Disgust,6,"[10, 26]"
Disgust,7,"[4, 6, 7, 9, 10, 25, 26]"
Fear,1,"[1, 2, 4, 5, 20]"
Fear,2,"[1, 2, 4, 5, 20, 25]"
Fear,3,"[1, 2, 4, 5, 20, 26]"
Fear,4,"[1, 2, 5, 7, 25]"
Happiness,1,"[6, 12]"
Happiness,2,"[6, 12, 27]"
Happiness,3,"[6, 7, 12, 16, 25, 26]"
Interest,1,"[1, 2, 12]"
Interest,2,"[85]"
Sadness,1,"[1, 15]"
Sadness,2,"[1, 4, 15]"
Sadness,3,"[1, 15, 17]"
Sadness,4,"[1, 4, 15, 17]"
Sadness,5,"[4, 43, 54]"
Surprise,1,"[1, 2, 5, 25]"
Surprise,2,"[1, 2, 5, 26]"
