,k,n,p_hat,CI_lower,CI_upper,significant
Amusement,102.0,292.0,0.35,0.3,0.41,1.0
Anger,200.0,387.0,0.52,0.47,0.57,1.0
Awe,75.0,237.0,0.32,0.26,0.38,1.0
Contempt,78.0,268.0,0.29,0.24,0.35,1.0
Disgust,111.0,320.0,0.35,0.3,0.4,1.0
Embarrassment,119.0,321.0,0.37,0.32,0.43,1.0
Fear,171.0,335.0,0.51,0.46,0.56,1.0
Happiness,159.0,377.0,0.42,0.37,0.47,1.0
Interest,69.0,165.0,0.42,0.34,0.49,1.0
Pride,117.0,289.0,0.41,0.35,0.46,1.0
Sadness,11.0,20.0,0.55,0.34,0.75,1.0
Shame,15.0,38.0,0.4,0.26,0.55,1.0
Surprise,145.0,275.0,0.53,0.47,0.59,1.0
