,CI_lower,CI_upper,k,n,p_hat,significant
Amusement,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Anger,0.36,0.5,87.0,202.0,0.43,1.0
Awe,0.02,0.06,10.0,287.0,0.04,0.0
Contempt,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Disgust,0.11,0.28,14.0,77.0,0.19,0.0
Embarrassment,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Fear,0.29,0.4,93.0,273.0,0.34,1.0
Happiness,0.25,0.38,56.0,179.0,0.31,1.0
Interest,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pride,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Sadness,0.24,0.4,39.0,123.0,0.32,1.0
Shame,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Surprise,0.27,0.39,79.0,242.0,0.33,1.0
